jh,rq,real,predict,jdwc,xdwc,mpe
喇10-203,1987-08-01,78.2727474090632,79.51486,1.242114651483675,0.01586905650560888,1.586905650560888
喇10-203,1987-09-01,76.57792034139403,80.839035,4.261114692785654,0.055644168368494035,5.564416836849404
喇10-203,1987-10-01,78.73289087583824,81.66706,2.9341699762125444,0.03726739795239743,3.726739795239743
喇10-203,1987-11-01,77.16507173338752,81.155426,3.9903542920031043,0.05171192357327352,5.171192357327352
喇10-203,1987-12-01,78.85573460678724,78.42428,0.4314563475098936,0.005471464436433739,-0.5471464436433738
喇10-203,1988-01-01,77.70849908555172,78.2534,0.5449036244092156,0.007012149646711283,0.7012149646711283
喇10-203,1988-02-01,77.26084820158505,78.33121,1.0703590738055766,0.013853835399436083,1.3853835399436083
喇10-203,1988-03-01,77.3441320869742,78.46937,1.1252358939828326,0.014548432616937177,1.4548432616937177
喇10-181,1985-03-01,75.70135744767325,78.369606,2.6682485703931604,0.035247037310229525,3.5247037310229525
喇10-181,1985-04-01,76.6258085754928,78.39208,1.7662736388626712,0.023050636224249618,2.305063622424962
喇10-181,1985-05-01,77.3587067669173,78.388565,1.0298582965592686,0.013312765163748717,1.3312765163748717
喇10-181,1985-06-01,76.5612635643162,78.229195,1.6679310767970748,0.021785574050719646,2.1785574050719645
喇10-181,1985-07-01,79.17221337126601,78.43021,0.742007072437886,0.00937206427409522,-0.937206427409522
喇10-181,1985-08-01,77.9021341190815,78.36005,0.4579122676372549,0.005878045227070268,0.5878045227070268
喇10-181,1985-09-01,78.62878601910182,78.43734,0.19144623638698022,0.002434811041600857,-0.24348110416008573
喇10-181,1985-10-01,74.88309327372485,78.36046,3.4773651002985844,0.04643725236599875,4.643725236599875
喇10-181,1985-11-01,78.40808372282056,78.371704,0.03637962125806382,0.00046397794118612775,-0.04639779411861278
喇10-181,1985-12-01,77.71890957122537,78.323395,0.6044852041652575,0.007777839492347458,0.7777839492347458
喇10-181,1986-01-01,76.3363970737655,78.427734,2.0913373012345033,0.02739633230546104,2.739633230546104
喇10-181,1986-02-01,77.88964153627312,78.411095,0.5214531292542262,0.006694768636358225,0.6694768636358225
喇10-181,1986-03-01,77.45240113798009,78.42505,0.9726476901449104,0.012558005637709741,1.2558005637709742
喇10-181,1986-04-01,78.03747043283886,78.36534,0.32787075368457863,0.0042014528644512255,0.42014528644512256
喇10-181,1986-05-01,76.13859784596627,78.40708,2.2684837580376325,0.02979413624909319,2.979413624909319
喇10-181,1986-06-01,78.26233692338955,78.44882,0.1864850980948205,0.0023828204654477597,0.23828204654477597
喇10-181,1986-07-01,77.78137248526723,78.47587,0.6944957398304297,0.008928818271520934,0.8928818271520934
喇10-181,1986-08-01,76.2718520625889,78.451515,2.1796631351650007,0.028577556152384536,2.8577556152384536
喇10-181,1986-09-01,77.7584694167852,78.50153,0.7430640915155777,0.009556053470301171,0.9556053470301171
喇10-181,1986-10-01,76.44883031904085,78.49698,2.0481484407247734,0.02679110239067514,2.679110239067514
喇10-181,1986-11-01,76.7798837634627,78.52216,1.742279627650575,0.022691876338573915,2.2691876338573915
